stationName,Month,Monthly_Mean_GWL
Chandini Chowk DW,2022-07-31,
Chandini Chowk DW,2022-08-31,5.82
Chandini Chowk DW,2022-09-30,
Chandini Chowk DW,2022-10-31,
Chandini Chowk DW,2022-11-30,5.72
Chawla,2020-01-31,13.57
Chawla,2020-02-29,
Chawla,2020-03-31,
Chawla,2020-04-30,
Chawla,2020-05-31,
Chawla,2020-06-30,
Chawla,2020-07-31,
Chawla,2020-08-31,12.37
Chawla,2020-09-30,
Chawla,2020-10-31,
Chawla,2020-11-30,
Chawla,2020-12-31,
Chawla,2021-01-31,11.91
Chawla,2021-02-28,
Chawla,2021-03-31,
Chawla,2021-04-30,
Chawla,2021-05-31,
Chawla,2021-06-30,
Chawla,2021-07-31,
Chawla,2021-08-31,
Chawla,2021-09-30,
Chawla,2021-10-31,
Chawla,2021-11-30,
Chawla,2021-12-31,
Chawla,2022-01-31,8.35
Chawla,2022-02-28,
Chawla,2022-03-31,
Chawla,2022-04-30,
Chawla,2022-05-31,9.2
Chawla,2022-06-30,
Chawla,2022-07-31,
Chawla,2022-08-31,7.37
Chawla,2022-09-30,
Chawla,2022-10-31,
Chawla,2022-11-30,7.52
Chilla Regulator,2020-01-31,10.72
Chilla Regulator,2020-02-29,
Chilla Regulator,2020-03-31,
Chilla Regulator,2020-04-30,
Chilla Regulator,2020-05-31,
Chilla Regulator,2020-06-30,
Chilla Regulator,2020-07-31,
Chilla Regulator,2020-08-31,10.16
Chilla Regulator,2020-09-30,
Chilla Regulator,2020-10-31,
Chilla Regulator,2020-11-30,11.0
Chilla Regulator,2020-12-31,
Chilla Regulator,2021-01-31,10.45
Chilla Regulator,2021-02-28,
Chilla Regulator,2021-03-31,
Chilla Regulator,2021-04-30,
Chilla Regulator,2021-05-31,
Chilla Regulator,2021-06-30,
Chilla Regulator,2021-07-31,
Chilla Regulator,2021-08-31,10.79
Chilla Regulator,2021-09-30,
Chilla Regulator,2021-10-31,
Chilla Regulator,2021-11-30,10.51
Chilla Regulator,2021-12-31,
Chilla Regulator,2022-01-31,10.25
Chilla Regulator,2022-02-28,
Chilla Regulator,2022-03-31,
Chilla Regulator,2022-04-30,
Chilla Regulator,2022-05-31,10.3
Chilla Regulator,2022-06-30,
Chilla Regulator,2022-07-31,
Chilla Regulator,2022-08-31,10.27
Chilla Regulator,2022-09-30,
Chilla Regulator,2022-10-31,
Chilla Regulator,2022-11-30,9.64
Chillasaroda Pz,2020-01-31,11.22
Chillasaroda Pz,2020-02-29,
Chillasaroda Pz,2020-03-31,
Chillasaroda Pz,2020-04-30,
Chillasaroda Pz,2020-05-31,
Chillasaroda Pz,2020-06-30,
Chillasaroda Pz,2020-07-31,
Chillasaroda Pz,2020-08-31,10.85
Chillasaroda Pz,2020-09-30,
Chillasaroda Pz,2020-10-31,
Chillasaroda Pz,2020-11-30,11.22
Chillasaroda Pz,2020-12-31,
Chillasaroda Pz,2021-01-31,10.01
Chillasaroda Pz,2021-02-28,
Chillasaroda Pz,2021-03-31,
Chillasaroda Pz,2021-04-30,
Chillasaroda Pz,2021-05-31,
Chillasaroda Pz,2021-06-30,
Chillasaroda Pz,2021-07-31,
Chillasaroda Pz,2021-08-31,
Chillasaroda Pz,2021-09-30,
Chillasaroda Pz,2021-10-31,
Chillasaroda Pz,2021-11-30,9.58
Chillasaroda Pz,2021-12-31,
Chillasaroda Pz,2022-01-31,9.34
Chillasaroda Pz,2022-02-28,
Chillasaroda Pz,2022-03-31,
Chillasaroda Pz,2022-04-30,
Chillasaroda Pz,2022-05-31,9.6
Chillasaroda Pz,2022-06-30,
Chillasaroda Pz,2022-07-31,
Chillasaroda Pz,2022-08-31,9.62
Chillasaroda Pz,2022-09-30,
Chillasaroda Pz,2022-10-31,
Chillasaroda Pz,2022-11-30,8.99
Coronation Pillar,2023-08-31,25.4095
Coronation Pillar,2023-09-30,10.596674846625767
Coronation Pillar,2023-10-31,2.634849557522124
Coronation Pillar,2023-11-30,2.6113669724770645
Coronation Pillar,2023-12-31,2.737008474576271
Daryapur Khurd,2020-01-31,3.56
Daryapur Khurd,2020-02-29,
Daryapur Khurd,2020-03-31,
Daryapur Khurd,2020-04-30,
Daryapur Khurd,2020-05-31,
Daryapur Khurd,2020-06-30,
Daryapur Khurd,2020-07-31,
Daryapur Khurd,2020-08-31,1.63
Daryapur Khurd,2020-09-30,
Daryapur Khurd,2020-10-31,
Daryapur Khurd,2020-11-30,2.87
Daryapur Khurd,2020-12-31,
Daryapur Khurd,2021-01-31,3.38
Daryapur Khurd_1,2023-09-30,1.1881416666666667
Daryapur Khurd_1,2023-10-31,1.435933962264151
Daryapur Khurd_1,2023-11-30,1.7412096774193548
Daryapur Khurd_1,2023-12-31,2.1603333333333334
Daulatpur Pz,2020-01-31,14.17
Daulatpur Pz,2020-02-29,
Daulatpur Pz,2020-03-31,
Daulatpur Pz,2020-04-30,
Daulatpur Pz,2020-05-31,
Daulatpur Pz,2020-06-30,
Daulatpur Pz,2020-07-31,
Daulatpur Pz,2020-08-31,13.26
Daulatpur Pz,2020-09-30,
Daulatpur Pz,2020-10-31,
Daulatpur Pz,2020-11-30,13.84
Daulatpur Pz,2020-12-31,
Daulatpur Pz,2021-01-31,13.68
Daulatpur Pz,2021-02-28,
Daulatpur Pz,2021-03-31,
Daulatpur Pz,2021-04-30,
Daulatpur Pz,2021-05-31,
Daulatpur Pz,2021-06-30,
Daulatpur Pz,2021-07-31,
Daulatpur Pz,2021-08-31,12.36
Daulatpur Pz,2021-09-30,
Daulatpur Pz,2021-10-31,
Daulatpur Pz,2021-11-30,11.31
Daulatpur Pz,2021-12-31,
Daulatpur Pz,2022-01-31,11.06
Daulatpur Pz,2022-02-28,
